number,state,title,created_at,closed_at,comments,labels,components,is_bug,is_crash,related_prs
8930,open,Inheritance documentation bug,2025-11-05T23:30:03Z,,0,Dev Opened,,False,False,
8929,open,HLSL add support of SampleCmpBias and SampleCmpGrad,2025-11-05T23:23:41Z,,0,Dev Opened,spirv|glsl|hlsl,False,False,
8928,open,Unexpected error when using default type with generics,2025-11-05T20:03:26Z,,6,Dev Reviewed|Typesystem,generics,False,False,
8917,open,Improving string support,2025-11-04T21:41:11Z,,2,Dev Reviewed,spirv|cuda|glsl|hlsl|generics,False,True,
8916,open,Combined texture sampler (e.g. Sampler2D) generates HLSL without resource registers,2025-11-04T21:34:02Z,,0,Dev Opened|RTR,hlsl,False,False,
8913,open,Add SV_GroupWaveIndex to get the index of a subgroup,2025-11-04T19:10:06Z,,0,Dev Reviewed,metal|hlsl|wgsl,False,False,
8912,open,GLSL: GL_ARB_texture_cube_map_array requirement is missing for TextureCubeArray,2025-11-04T18:40:32Z,,0,Dev Opened|Diagnostics|glsl,glsl,False,False,
8908,open,GLSL: GL_ARB_shader_image_load_store requirement is missing for RWTexture2D and others,2025-11-04T18:29:44Z,,0,Dev Opened|glsl,glsl,False,False,
8907,open,New capabilities needed for Optix Target,2025-11-04T18:20:17Z,,1,Dev Opened|RTR,,False,False,
8894,open,Compiler crash when using [SpecializationConstant] as an array size,2025-11-03T18:30:16Z,,1,Dev Reviewed,spirv|glsl,False,True,
8887,open,Declaring enum inside generic struct segfaults,2025-11-03T03:52:31Z,,3,Dev Reviewed,generics,False,False,
8886,open,Crash in buildEntryPointReferenceGraph when using dynamic resources,2025-11-02T00:24:43Z,,7,Dev Reviewed|RTR,slang-core|slang-ir|spirv,False,True,
8882,open,SPIRV validation error while attempting to create Vulkan Shader Module,2025-10-31T22:45:04Z,,11,,spirv|dxil|glsl,False,True,
8880,open,Slang crashing when finding exported decls from precompiled modules,2025-10-31T21:35:23Z,,8,Dev Reviewed,slang-core,False,True,
8879,open,Distribute neural.slang in downstream slang project packaging,2025-10-31T20:31:08Z,,0,Dev Opened|Packaging,,False,False,
8878,open,Provide packaging manifest/metadata for downstream,2025-10-31T18:43:57Z,,1,Dev Opened|Packaging,,False,False,
8876,open,Enable tests when the graphics driver fixes a bug for VariablePointersStorageBuffer,2025-10-31T17:27:34Z,,0,Dev Opened,spirv,False,False,
8875,open,Slang Maintainer Duty - Sprint 41,2025-10-31T16:59:25Z,,0,Dev Opened,spirv,False,False,
8873,open,Remove the unused legalizeExistentialTypeLayout pass,2025-10-31T14:14:33Z,,2,Dev Opened,,False,False,
8870,open,slangc crashing due to unorm qualifier,2025-10-31T08:52:21Z,,0,Dev Reviewed,spirv,False,True,
8866,open,Remove `gfx` from slang release packages,2025-10-30T20:06:21Z,,1,Dev Opened|Packaging,,False,False,
8865,open,Add slang-rhi to slang release packages,2025-10-30T19:59:20Z,,0,Dev Opened,,False,False,
8855,open,Potential regression of zero-initialization behavior,2025-10-30T06:53:37Z,,1,Dev Reviewed,spirv,False,False,
8854,open,Testing plan needed for OptiX 8.1 compatibility fixes,2025-10-30T06:47:06Z,,0,Dev Opened,cuda,False,False,
8848,open,"Investigate FOSDEM, determine whether to make a submission",2025-10-29T15:40:34Z,,0,Dev Opened,,False,False,
8845,open,New type reflection for DescriptorHandle,2025-10-29T12:14:11Z,,0,Dev Opened,,False,False,
8841,open,Make glsl module discovery use the same logic added in #8602,2025-10-29T07:11:23Z,,0,Dev Opened,glsl,False,False,
8836,open,HitObject.GetHitKind not implemented under CUDA/OptiX,2025-10-28T21:32:36Z,,0,Dev Opened|optix|raytracing,cuda|hlsl,False,False,
8834,open,Extend Ptr<T> type to IDifferentialPtrType,2025-10-27T18:37:07Z,,0,Dev Opened|Autodiff,autodiff,False,False,
8827,open,C++ separate compilation of modules,2025-10-27T14:22:51Z,,2,Dev Reviewed,,False,False,
8825,open,Memory leak detected in Debug build (v2025.19.1),2025-10-26T10:03:44Z,,0,Dev Reviewed,cuda|glsl,False,False,
8823,open,Compiler crash on type mismatch in matrices,2025-10-25T19:02:22Z,,1,Dev Reviewed,,False,True,
8822,open,Improve diagnostics retrieval,2025-10-25T14:12:33Z,,0,Dev Reviewed|Diagnostics,,False,False,
8818,open,RTAS leaks away from a [vk::push_constant] cbuff.,2025-10-24T19:49:48Z,,0,Dev Reviewed|Diagnostics,,False,False,
8813,open,Templated versions of ByteAddressBuffer Load and Store methods are generated with -profile sm_5_0,2025-10-24T11:26:30Z,,0,HelpWanted|Dev Reviewed,hlsl|generics,False,False,
8803,open,__exported import not working from other than main module file.,2025-10-23T16:19:53Z,,3,Dev Opened|RTR,,False,False,
8802,open,Invalid GLSL generated for DepthTexture types,2025-10-23T15:33:29Z,,0,Dev Opened|glsl,spirv|glsl,False,False,
8801,open,UX: Automate build instruction testing,2025-10-23T15:11:55Z,,0,Dev Opened,,False,False,
8800,open,UX: Add quickfix suggestions to language server,2025-10-23T15:11:52Z,,0,Dev Opened,,False,False,
8799,open,UX: Test language server with editors beyond VSCode,2025-10-23T15:11:50Z,,1,Dev Opened,,False,False,
8798,open,UX: Document HLSL-equivalent library functions,2025-10-23T15:11:47Z,,0,Dev Opened,hlsl,False,False,
8797,open,UX: Create framework for automated documentation testing,2025-10-23T15:11:44Z,,0,Dev Opened,,False,False,
8796,open,UX: Create framework for error hints and suggestions,2025-10-23T15:11:42Z,,0,Dev Opened,,False,False,
8795,open,UX: Create diagnostic guidelines and standards document,2025-10-23T15:11:39Z,,0,Dev Opened,generics,False,False,
8794,open,UX: Add optional message parameter to SLANG_ASSERT,2025-10-23T15:11:36Z,,0,Dev Opened,,False,False,
8793,open,UX: Add stack trace printing to SLANG_ASSERT,2025-10-23T15:11:34Z,,0,Dev Opened,,False,False,
8792,open,UX: Use C++ exceptions to capture asserts in libslang.so,2025-10-23T15:10:32Z,,0,Dev Opened,,False,True,
8791,open,UX: Implement crash handler wrapper for slangc,2025-10-23T15:08:58Z,,0,Dev Opened,,False,True,
8790,open,UX: Evaluate C++ crash handler libraries for slangc,2025-10-23T15:05:57Z,,0,Dev Opened,,False,True,
8787,open,slang-test: Enable backend-in-the-loop testing for RasterizerOrderedTexture tests,2025-10-23T11:12:43Z,,0,,hlsl,False,False,
8786,open,slang-test: Enable backend-in-the-loop testing for depth and texture storage types (WGSL),2025-10-23T10:24:12Z,,0,Dev Opened|WebGPU,wgsl,False,False,
8785,open,Amplification shader and payload,2025-10-23T07:07:28Z,,1,,glsl,False,False,
8780,open,Fix a crash when ByteAddressBuffer as a local variable is dynamically set,2025-10-22T19:49:51Z,,3,Dev Opened,spirv|hlsl|generics,False,True,
8777,open,"slangc crash for CUDA target with bwd_diff, [ForceInline], and [CudaDeviceExport]",2025-10-22T15:27:20Z,,1,Dev Reviewed|Autodiff,cuda,False,True,
8774,open,WGSL backend emits module-scope var<private> for builtins breaking uniformity analysis for subgroup ops,2025-10-22T09:32:25Z,,3,Backlog|Dev Reviewed|WebGPU,wgsl,False,False,
8768,open,Slang should have a native type for read-only texture storage,2025-10-21T10:21:20Z,,2,Typesystem|Metal|Dev Opened|glsl|WebGPU,metal|glsl|hlsl|wgsl,False,False,
8767,open,Taking an address of a local variable results in Vulkan validation error failure.,2025-10-21T08:51:14Z,,2,Dev Reviewed,spirv,False,False,
8763,open,link-type specialization does not work when imported,2025-10-20T18:04:18Z,,6,RTR,,False,False,
8760,open,SPIRV Emits UniformAndStorageBuffer16BitAccess when StorageBuffer16BitAccess is sufficient,2025-10-19T20:09:51Z,,1,HelpWanted|Dev Reviewed,spirv,False,False,
8753,open,Vertex shader missing SV_Position should generate a warning,2025-10-18T01:25:18Z,,6,Dev Reviewed|Diagnostics,spirv,False,True,
8744,open,Web/WASM: Enable loading IR binary modules,2025-10-17T15:21:12Z,,0,Dev Reviewed|WebGPU,,False,False,
8742,open,IRFuncType::getParamCount is incorrect in the case of attributed func types,2025-10-17T06:50:28Z,,0,Dev Opened,,False,False,
8739,open,Fix the way the Slang compiler handles IR lowering of entry points,2025-10-16T22:15:56Z,,2,Dev Opened,spirv|glsl|hlsl,False,False,
8738,open,AV in spReflectionEntryPoint_getComputeThreadGroupSize when using specialization constants for NumThreads attribute,2025-10-16T21:56:07Z,,2,Dev Reviewed|Diagnostics,slang-core|hlsl,False,True,
8726,open,Add ability for spirv_asm blocks to identify what they read/write,2025-10-16T00:30:09Z,,0,Dev Opened,spirv,False,False,
8724,open,"Add a Slang IR  instruction to represent something like a ""panic""",2025-10-15T20:26:03Z,,0,Dev Opened,,False,True,
8721,open,Improve documentation for Texture types and target support,2025-10-15T16:54:25Z,,1,Dev Opened,cuda|metal|glsl|hlsl|wgsl,False,False,
8719,open,CVPR proposal,2025-10-15T15:43:44Z,,1,Dev Opened,,False,False,
8718,open, [neural.slang] CoopMatrix implementation 2,2025-10-15T15:27:52Z,,0,,,False,False,
8716,open,Re-enable Falcor image tests after HitObject::Invoke API update,2025-10-15T13:15:28Z,,0,Dev Opened,generics,False,False,
8715,open,[neural.slang] Add unit test for CoopMatrix backend implementation,2025-10-15T04:59:27Z,,0,Dev Opened,,False,False,
8714,open,[neural.slang] CoopMatrix implementation 1,2025-10-15T04:58:37Z,,1,Dev Opened,cuda,False,False,
8711,open,[CoopVec] Support HLSL syntax for the cooperative-vector and cooperative-matrix,2025-10-14T20:54:31Z,,1,Dev Opened,hlsl|cooperative-matrix,False,False,
8707,open,Familiarize with `switch`/`case` IR,2025-10-14T20:17:10Z,,0,Dev Opened,,False,False,
8705,open,[CI] Intermittent failure on mac-debug-clang test,2025-10-14T18:22:54Z,,2,Dev Opened,generics,False,False,
8694,open,Using StringHash as `static const` variable on a struct causes various compiler errors.,2025-10-14T06:56:43Z,,0,Dev Opened|RTR,hlsl,False,True,
8693,open,[Doc] How to use Record Replay,2025-10-13T22:11:16Z,,5,Dev Opened,,False,False,
8692,open,[neural.slang] Implement CoopVec backend of IVector,2025-10-13T19:30:52Z,,1,Dev Reviewed|Dev Opened,,False,False,
8685,open,Compiler exception with nested continue inside a switch,2025-10-12T08:58:54Z,,1,Dev Reviewed,slang-core|slang-ir|spirv,False,False,
8683,open,ImageSampleImplicitLod is generated for vertex stage when compiling to spirv,2025-10-12T00:04:58Z,,16,Dev Reviewed,spirv|glsl,False,False,
8681,open,[DebugInfo] Remove the debug-info removing logic from Slang and use spirv-opt instead,2025-10-11T13:08:58Z,,1,client support|Dev Opened,compiler-core|slang-core|spirv|glsl|hlsl,False,False,
8675,open,Support specializing link-time constants outside modules,2025-10-10T13:46:56Z,,0,Dev Reviewed,,False,False,
8672,open,A comprehensive list of all possible [shader(...)] attribute values,2025-10-10T09:06:40Z,,3,Dev Reviewed,,False,False,
8667,open,[neural.slang] Slang playground support,2025-10-09T20:09:20Z,,0,Dev Opened,,False,False,
8665,open,Extending interfaces not working as advertised,2025-10-09T16:19:58Z,,6,Dev Opened|RTR,generics,False,False,
8663,open,LSP: Auto-complete function parentheses (and parameters),2025-10-09T14:16:30Z,,0,Dev Reviewed,,False,False,
8662,open,Getting host callable entry point without the [shader()] attribute fails with segmentation fault,2025-10-09T11:55:09Z,,3,Dev Reviewed|Diagnostics,,False,False,
8657,open,UnscopedEnum attribute lost when part of typedef,2025-10-09T08:28:12Z,,0,Dev Reviewed,,False,False,
8655,open,Additional codebase for CI testing,2025-10-09T06:45:51Z,,0,Dev Opened|rtremix|CI Improvement,,False,False,
8654,open,slang-test should have test plans,2025-10-09T04:54:12Z,,6,Dev Opened|CI Improvement,,False,False,
8650,open,[Doc] Clarify the behavior of `-separate-debug-info` and `-obfuscate` options,2025-10-08T18:15:34Z,,3,Dev Opened,spirv,False,False,
8646,open,Fix `SLANG_ENABLE_ASAN` CMake option,2025-10-08T17:18:06Z,,0,Dev Opened|cmake,,False,False,
8642,open,Investigate OWNERS/automated notifications issues in GitHub,2025-10-08T16:15:41Z,,2,Dev Opened,,False,False,
8640,open,Tracking item: Create presentation materials for GPC talk,2025-10-08T15:42:54Z,,0,Dev Opened,,False,False,
8639,open,Tracking item: Create presentation materials for Autodiff community talk,2025-10-08T15:42:38Z,,0,Dev Opened,autodiff,False,False,
8638,open,Double check about fp16 atomicAdd support on nvidia hardware,2025-10-08T15:39:09Z,,0,Dev Reviewed|Dev Opened,,False,False,
8637,open,extras/formatting.sh should check/format also non-committed changes,2025-10-08T15:29:38Z,,0,Dev Opened,,False,False,
8636,open,extras/formatting.sh macOS support,2025-10-08T15:23:42Z,,0,Metal|Dev Opened,,False,False,
8635,open,unexpected IR opcode during code emit when combining generics and dynamic dispatch,2025-10-08T13:56:29Z,,1,Dev Opened|Diagnostics|RTR,generics,False,False,
8633,open,findFunctionByName returns null for overloaded generic functions,2025-10-08T07:56:34Z,,4,Dev Opened|RTR,generics,False,False,
8630,open,Invalid GLSL code generated when using pointer,2025-10-08T02:49:09Z,,0,Dev Reviewed|Dev Opened,spirv|cuda|glsl,False,False,
8620,open,GenericAsm blocks force-inlining preventing static_assert constant folding,2025-10-07T05:38:03Z,,2,Dev Opened,slang-core|slang-ir|generics,False,False,
8618,open,HitObject.MakeHit fails under D3D12 when profile is sm_6_8,2025-10-06T23:25:35Z,,3,Dev Opened|optix|raytracing,dxil|hlsl,False,False,
8615,open,HitObject.GetObjectRayOrigin() and HitObject.GetObjectRayOrigin() have incorrect availability,2025-10-06T21:04:22Z,,4,Dev Opened|optix|raytracing,hlsl,False,False,
8608,open,Unsupported SPIR-V BuiltIn in fragment shader,2025-10-06T15:51:22Z,,0,Dev Reviewed|Diagnostics,spirv,False,False,
8590,open,Slang 2025.18.1 fails with internal error when compiling RT shader,2025-10-02T21:24:45Z,,6,Dev Opened|optix|raytracing,spirv|hlsl,False,False,
8587,open,[Bug] using `select` function with matrices compiles improperly on Metal,2025-10-02T16:35:44Z,,0,Dev Reviewed|Metal,metal|hlsl,False,False,
8582,open,Source of DebugGlobalVariable is set to the wrong slang file,2025-10-01T18:33:45Z,,7,Dev Opened|Neptune,spirv|glsl,False,False,
8579,open,Sprint Maintainer - Duty,2025-10-01T15:40:33Z,,0,,,False,False,
8573,open,Make slangpy a submodule of slang repo,2025-10-01T07:08:06Z,,6,Dev Opened,,False,False,
8566,open,[CMake] Slang building process should print a warning when the submodules are not up-to-date,2025-09-30T17:40:27Z,,2,Dev Opened,spirv,False,False,
8562,open,C4190 warning when using CPU targeted compilation on Windows (VS 2022),2025-09-30T02:49:05Z,,0,Dev Reviewed,,False,False,
8560,open,Unsized type T in StructuredBuffer<T> should cause compilation error,2025-09-30T00:38:05Z,,3,Dev Opened|Diagnostics,spirv,False,False,
8559,open,Segfault during slang-test on autodiff/generic-impl-jvp,2025-09-29T22:37:53Z,,7,Dev Reviewed|Autodiff,autodiff|generics,False,False,
8557,open,Std430DataLayout feature missing when compiling GLSL to WGSL,2025-09-29T14:23:41Z,,2,Dev Reviewed,spirv|glsl|wgsl,False,False,
8556,open,Enable OptiX CoopVec tests when OptiX 9.0+ is released,2025-09-29T13:12:36Z,,2,Dev Opened|optix|CI Bug,cuda,True,False,
8550,open,Initializing const global with non-const global crashes compiler,2025-09-28T12:32:47Z,,1,Dev Opened|Diagnostics,spirv,False,True,
8549,open,Slangc incorrectly sets explicit image formats for sampled integer textures instead of Unknown (SPIR-V),2025-09-27T18:00:38Z,,0,Dev Reviewed,spirv|hlsl|wgsl,False,False,
8544,open,"Crash when using generic `vector<T, N>::equals()`",2025-09-26T19:29:22Z,,0,Dev Reviewed,hlsl|generics,False,True,
8529,open,Add NVIDIA GameWorks shader compiles to CI,2025-09-24T06:46:52Z,,0,Dev Opened,,False,False,
8527,open,Slang Maintainer Duty Template,2025-09-24T06:38:56Z,,2,,spirv|generics,False,False,
8522,open,[DebugInfo] Legalized entry point parameters are missing debug info with a recent SPIRV-Tools,2025-09-23T21:27:21Z,,0,regression,spirv,True,False,
8518,open,GLSL profiles less than `glsl_450` do not produce appropriately-versioned GLSL,2025-09-23T16:15:23Z,,2,Dev Reviewed,glsl,False,False,
8517,open,generic struct static variable,2025-09-23T15:50:25Z,,0,pr: new feature|Dev Reviewed,generics,False,True,
8516,open,Sampler2DShadow.Sample generates invalid code instead of erroring,2025-09-23T13:33:05Z,,1,Dev Reviewed,glsl,False,False,
8514,open,Symmetric matrices / tensors,2025-09-23T06:51:22Z,,0,Dev Reviewed,,False,False,
8499,open,"The new `Ptr<T, Access.Read>` syntax does not emit `NonWritable` in SPIR-V",2025-09-20T22:03:21Z,,1,Dev Reviewed,spirv,False,False,
8486,open,Fix tests/metal/texture.slang on metal target (internal compiler error),2025-09-19T05:00:25Z,,0,Metal|Dev Opened,metal,False,False,
8485,open,Metal: Add TEST_INPUT support for Sampler2D et al to test infra,2025-09-19T04:54:40Z,,1,Metal|Dev Opened,metal,False,False,
8484,open,[WGSL]: Invalid code generation for vertex input/output and texture type,2025-09-19T03:16:48Z,,0,Dev Opened,wgsl,False,False,
8480,open,Unimplemented spirv op,2025-09-18T19:13:05Z,,0,Dev Opened,spirv|metal,False,False,
8479,open,IntVal folding error causing incorrect type identity check,2025-09-18T14:46:58Z,,0,Dev Opened,,False,False,
8468,open,Some slang tests crashes VK/GL driver in Tegra/aarch64,2025-09-17T06:26:22Z,,1,Dev Reviewed,spirv|hlsl,False,True,
8462,open,Intermittent slang-test crash in Windows CI,2025-09-16T23:20:08Z,,7,Dev Reviewed|CI Bug,,True,True,
8457,open,"Metal: Multisample texture load ""location"" argument must be uint",2025-09-16T20:15:20Z,,0,Metal|Dev Opened,metal,False,False,
8456,open,"Enable metal Buffer, RWBuffer support in slang-test",2025-09-16T20:04:06Z,,0,Metal|Dev Opened,metal,False,False,
8455,open,Infinite loop in reflection: tests/metal/test_descriptor_handle.slang,2025-09-16T19:42:37Z,,0,Metal|Dev Opened,metal,False,False,
8454,open,Fix tests/metal/texture-write.slang on metal target,2025-09-16T18:33:12Z,,0,Metal|Dev Opened,metal,False,False,
8453,open,parseCommandLineArguments doesn't set matrix layout,2025-09-16T17:05:23Z,,1,Dev Reviewed,spirv,False,False,
8444,open,Blog posting with updates from Siggraph,2025-09-15T16:32:53Z,,0,Dev Opened,,False,False,
8443,open,[SPIRV] Slang producing invalid spir-v for Texture2D in struct conditionally initialized and used,2025-09-15T14:46:51Z,,0,,spirv|hlsl,False,False,
8441,open,[D3D12] ParameterBlock<ConstantBuffer<T>> results in register space mismatch between Reflection API and bytecode,2025-09-14T12:57:09Z,,0,,dxil,False,False,
8440,open,The playground links are broken on latest docs,2025-09-12T22:55:57Z,,0,,autodiff,False,False,
8437,open,Crash when combining multiple Slang Session objects,2025-09-11T22:01:46Z,,4,,spirv|glsl|hlsl,False,True,
8435,open,Semantic qualifiers on a global semantics without `in` should error,2025-09-11T11:15:26Z,,0,,,False,False,
8423,open,Support @must_use-like annotation for functions,2025-09-10T11:36:30Z,,1,,wgsl,False,False,
8404,open,[SlangTorch][Doc] Remove the link and mention of slang-torch from docs,2025-09-08T17:16:08Z,,0,Dev Opened,,False,False,
8403,open,[SlangTorch] slangpy should support interop for pytorch,2025-09-08T17:11:23Z,,0,Dev Opened,,False,False,
8402,open,[SlangTorch] slangpy should have all examples from slang-torch migrated,2025-09-08T17:07:31Z,,0,Dev Opened,,False,False,
8388,open,"WGSL location indicies are not generated, leading to invalid output",2025-09-05T23:23:35Z,,1,regression|Dev Opened,wgsl,True,False,
8384,open,[SlangTorch][Doc] Tutorial document for migrating from slangtorch to slangpy,2025-09-05T19:38:16Z,,3,Dev Opened,,False,False,
8382,open,Intermittent failures seen in linux+release CI jobs,2025-09-05T18:28:25Z,,2,CI Bug,cuda|autodiff,True,False,
8376,open,Internal compiler error/exception leak when accessing unset buffer.,2025-09-05T07:07:21Z,,0,Dev Reviewed,spirv|glsl,False,False,
8373,open,[SPIRV] wrong ArrayStride inside layout(std430) cbuffer,2025-09-04T22:58:01Z,,2,Dev Opened|Diagnostics,spirv|glsl|hlsl,False,False,
8371,open,[SPIRV/GLSL] support getCount() on unsized array inside RWStructuredBuffer,2025-09-04T21:46:43Z,,1,Dev Opened|Neptune,spirv|glsl,False,False,
8366,open,Some slang-test must be run from specific location,2025-09-04T18:20:55Z,,4,,cuda,False,False,
8360,open,spvGroupNonUniformXX capabilities are not correctly handled by CUDA target,2025-09-03T23:00:36Z,,1,optix,spirv|cuda,False,False,
8358,open,`ParameterBlock<StructuredBuffer<T>>` generates array with no `@binding` and `@group` in WGSL,2025-09-03T17:12:19Z,,0,,metal|wgsl,False,False,
8357,open,Add slang-playground demos to slang test coverage,2025-09-03T16:30:53Z,,0,Dev Opened,,False,False,
8356,open,Use IDL to generate COM API,2025-09-03T09:23:23Z,,0,Dev Reviewed|Dev Opened,,False,False,
8342,open,Add de-obfuscation support,2025-09-02T16:10:56Z,,1,Dev Opened,spirv,False,False,
8341,open,Remove debug lines from Slang libraries,2025-09-02T16:07:38Z,,1,Dev Opened,,False,False,
8323,open,Targeting WGSL_SPIRV causes crash during compilation,2025-08-29T10:38:26Z,,3,Dev Reviewed|Diagnostics,spirv|wgsl,False,True,
8318,open,Automatic enable of compute shader derivatives extension when texture() is used leads to behavior difference when compared to glsl,2025-08-28T18:35:25Z,,11,Dev Reviewed,glsl,False,False,
8307,open,Slang emits invalid glsl silently when RWStructuredBuffer used as local var,2025-08-27T22:54:55Z,,2,Dev Reviewed|Diagnostics,glsl|hlsl,False,False,
8306,open,Embedding core + GLSL binaries inside slang.dll does not appear to work,2025-08-27T21:39:47Z,,0,Dev Reviewed|cmake,glsl,False,True,
8304,open,Support link-time specialization for properties,2025-08-27T21:07:25Z,,0,Dev Reviewed|Dev Opened|Neptune,,False,False,
8299,open,[Document]: Adding more details for limitation of unsized array in Slang document,2025-08-26T19:45:54Z,,0,Dev Reviewed|Dev Opened,,False,False,
8298,open,Emit warnings for overflows of function and generic arguments,2025-08-26T19:39:34Z,,0,pr: non-breaking|Dev Reviewed|Dev Opened|Diagnostics,generics,False,False,
8295,open,Emit unique identifier for slang libraries,2025-08-26T17:48:35Z,,2,pr: non-breaking|Dev Reviewed|Dev Opened,spirv,False,False,
8292,open,"Port ""Introduction to Slang"" lab samples to Slang playground",2025-08-25T22:43:41Z,,1,Dev Reviewed|Dev Opened,,False,False,
8291,open,[SlangTorch][ParentTask] Deprecate slang-torch,2025-08-25T21:24:59Z,,8,Dev Reviewed|Dev Opened,,False,False,
8288,open,Allow `override` of default implementation in `extension`,2025-08-25T16:50:08Z,,2,Dev Reviewed,,False,False,
8287,open,"regenerate access token for stats script, q2 2026",2025-08-25T15:33:36Z,,0,Dev Reviewed|Dev Opened,,False,False,
8286,open,slangd: textDocument/definition (and maybe others) return invalid relative URIs,2025-08-25T12:24:05Z,,0,Dev Reviewed,,False,False,
8279,open,"The compiler should properly diagnose an error when seeing ""static const float x = constantBuffer.val;"" for all targets.",2025-08-22T23:13:42Z,,1,Dev Reviewed|Dev Opened|Diagnostics|Neptune,spirv|glsl|hlsl,False,True,
